Product_Input,Cheapest_Original_Material,Original_Price_USD,EISc_Original_Score,Sustainable_Alternative,Alternative_Price_USD,EISc_Alternative_Score
Packaging Box,Tritan,8.87,9,Plant-based Tritan,8.89,3
Automotive Component,Banana Leaf,9.78,8,Compostable Leaf,9.65,3
Shoes,Cork Leather,4.86,7,Tree Bark Leather,4.99,3
Towel,Conventional Cotton,2.23,7,Organic Cotton or Hemp,2.18,3
Lip Balm,Traditional Candle Wax,5.22,8,Soy Wax or Beeswax,5.21,2
Automotive Component,Plant-based Paint,3.04,7,Water-based Paint,3.11,2
Toy,Casein Plastics,6.3,7,Plant Protein Plastics,6.28,2
Electronic Housing,Polyvinyl Butyral,3.39,8,Biodegradable PVB,3.32,3
Storage Container,Fish Scale Plastics,1.02,8,Algae-based Plastics,1.0,3
General Appliance Part,Cedar,8.37,8,Reclaimed Wood,8.58,3
General Appliance Part,Rice Husk Ash Cement,2.93,8,Agricultural Waste Cement,2.85,3
Electronic Housing,Zein (Corn Protein),7.74,7,Plant-based Protein Films,7.83,2
Upholstery,Flax Fiber,2.13,7,Bamboo Fiber,2.09,2
General Appliance Part,Lead Paint,0.73,10,Natural Mineral Paint,0.72,2
Crayon,Synthetic Wax,5.28,8,Beeswax or Soy Wax,5.23,3
Automotive Component,Polyetheretherketone,9.34,9,High-performance Natural Fibers,9.26,4
Upholstery,Fiberglass Mat,3.53,8,Natural Fiber Mat,3.61,3
Grocery Bag,Polyethylene (Plastic),2.14,9,Jute or Cotton,2.18,2
Film,Cellulose,5.7,8,Recycled Cellulose,5.8,3
General Appliance Part,Beryllium,7.42,10,Aluminum Alloys,7.53,4
General Appliance Part,Tritan,0.81,9,Plant-based Tritan,0.82,3
Automotive Component,Polypropylene Carbonate,1.72,8,CO2-based Polymers,1.7,3
Automotive Component,Acetate,3.57,8, Bio-based Acetate,3.64,3
Automotive Component,Polybutylene Terephthalate,3.98,8,Biodegradable PBT,3.97,3
Car Seat,Polyurethane Coating,6.17,8,Plant-based Coating,6.13,3
Automotive Component,Zein (Corn Protein),6.66,7,Plant-based Protein Films,6.51,2
Water Pipe,Polyvinyl Chloride (PVC),4.37,8, Recycled PVC,4.39,3
Grocery Bag,Recycled Polyethylene Terephthalate (rPET),3.21,8, Bio-based PET,3.19,3
Jeans,Recycled Cotton,1.5,7,Biodegradable Cotton,1.48,2
General Appliance Part,Ammonia,0.55,8,Vinegar or Baking Soda Solutions,0.55,2
General Appliance Part,Polybutylene Terephthalate,4.27,8,Bio-based Polyesters,4.25,3
Upholstery,Fiberglass Insulation,1.49,9,Cellulose Insulation,1.53,3
Electronic Housing,Glass Containers,0.87,8,Recycled Glass,0.89,3
Tote Bag,Recycled Cotton,0.14,7,Biodegradable Cotton,0.14,2
General Appliance Part,Compostable Paper,3.64,7,Bamboo Paper,3.71,2
General Appliance Part,Algae Oil,9.88,8, Plant-based Oil,10.17,3
General Appliance Part,Ethylene Propylene Diene Monomer (EPDM),8.6,8, Bio-based EPDM,8.5,3
Plastic Cutlery,Polystyrene (Plastic),1.2,9,Bamboo or Compostable PLA,1.23,3
Disposable Cutlery,Recycled Plastic,8.51,9,Plant-based Plastic,8.43,3
Storage Container,Phthalate Plasticizers,0.6,9,Citrate-based Plasticizers,0.59,3
Packaging Box,Perfluorocarbons,1.1,10,Silicon-based Alternatives,1.12,4
Packaging Box,Polybenzoxazine,2.03,8, Bio-based Polybenzoxazine,2.06,3
Toy,Soy Protein Plastics,9.61,8,Plant-based Plastics,9.77,3
Packaging Box,Linseed Oil,1.01,7,Water-based Linseed Oil,1.01,3
Electronic Housing,PLA,3.19,5,Biodegradable Paper,3.28,2
Automotive Component,Ozone-depleting Substances,1.25,10,Natural Refrigerants,1.27,3
Sofa Cushion,Polyurethane Varnish,2.67,8,Natural Oil Varnish,2.72,3
General Appliance Part,Chlorofluorocarbons,7.8,10,Natural Refrigerants,8.01,3
Electronic Housing,PCB Transformers,6.06,10,Dry-type Transformers,5.98,4
Packaging Box,Linseed Oil,7.13,7,Water-based Linseed Oil,7.03,3
Packaging Box,Polybutylene,4.78,8,Bio-based Polyolefins,4.75,3
General Appliance Part,Shellac,5.58,7,Plant-based Resin,5.65,2
Electronic Housing,Teak Wood,2.46,9,Bamboo Composites,2.52,3
Electronic Housing,Traditional Asphalt,2.21,9,Recycled Rubber Pavement,2.18,4
Electronic Housing,Hexamethylenediamine,8.97,8,Bio-based Diamines,9.13,3
Packaging Box,Styrene Monomer,4.22,8,Natural Monomers,4.11,3
General Appliance Part,Compostable Utensils,3.26,8, Bamboo or Palm Leaf Utensils,3.32,3
General Appliance Part,Ethylene Propylene Diene Monomer (EPDM),9.79,8, Bio-based EPDM,9.85,3
Electronic Housing,Recycled Textiles,7.35,8,Organic Textiles,7.43,3
Automotive Component,Acrylamide,3.84,9,Natural Polymers,3.91,3
Automotive Component,Vinyl Upholstery,5.49,9,Cork Leather or Fabric,5.43,3
Electronic Housing,Recycled Paper Straws,5.31,8, Compostable Paper Straws,5.15,3
Packaging Box,Polyvinyl Chloride Flooring,4.9,9,Cork or Bamboo Flooring,5.03,3
Automotive Component,Polypropylene,4.03,8, Glass,4.12,3
Insulation Panel,Polyurethane,9.22,8,Biodegradable Polyurethane,8.95,3
Eraser,Silicone Rubber,2.7,6, Natural Latex or Biodegradable Silicone,2.72,3
Automotive Component,Polymethyl Methacrylate (PMMA),3.07,9,Recycled PMMA,3.06,3
Automotive Component,FSC-Certified Wood,9.27,8, Sustainable Wood,9.12,3
Soda Bottle,Ink (Petroleum-based),1.63,8,Soy-based Ink,1.59,3
T-Shirt,Cotton Waste,6.07,8,Hemp or Organic Cotton,6.01,3
Toy,Plastic Beads,3.77,8,Glass or Wooden Beads,3.87,3
Packaging Box,Cork Packaging,8.12,8, Bamboo Packaging,8.03,3
Electronic Housing,Conventional Fertilizers,9.13,9,Organic Fertilizers,9.13,3
Disposable Cutlery,Milk Protein Plastics,1.03,8,Plant-based Plastics,1.03,3
Automotive Component,Ethylene Propylene Diene Monomer (EPDM),3.4,8, Bio-based EPDM,3.47,3
Electronic Housing,Mercury Switches,6.24,10,Electronic Switches,6.21,3
Packaging Box,Teak Wood,2.46,9,Bamboo Composites,2.47,3
Electronic Housing,Polybenzoxazine,3.73,8, Bio-based Polybenzoxazine,3.64,3
Automotive Component,Recycled Glass,3.46,9,Recycled Glass or Bio-based Glass,3.49,3
Food Container,Ink (Petroleum-based),1.05,8,Soy-based Ink,1.05,3
Storage Container,Casein Plastics,9.05,7,Plant Protein Plastics,8.94,2
Sportswear,Polyester Carpet,4.83,8,Wool or Sisal Carpet,4.75,3
Packaging Box,Foam Packing Peanuts,7.95,9,Cornstarch Packing Peanuts,7.98,2
Credit Card,Polyvinyl Chloride (PVC),6.37,8, Recycled PVC,6.46,3
Automotive Component,Conventional Ink Toner,2.06,8,Soy-based Toner,2.0,3
General Appliance Part,Styrene Acrylonitrile,8.25,8,Natural Copolymers,8.05,3
Toothbrush Bristles,Recycled Nylon,4.97,8,Recycled Nylon or Hemp Fiber,5.01,3
Electronic Housing,Chromated Copper Arsenate,4.7,10,Heat-treated Wood,4.57,3
Whiteboard,Melamine Foam,2.52,9,Recycled Melamine,2.58,3
Packaging Box,Teak Wood,7.28,9,Bamboo Composites,7.16,3
Tool Handle,Hydroxypropyl Cellulose,4.67,7,Modified Plant Cellulose,4.56,2
Pen,Plastic Bags,7.49,9,Reusable Cloth Bags,7.39,2
Electronic Housing,Synthetic Insulation,9.73,8,Recycled Cotton Insulation,9.85,2
Automotive Component,Plant-based Paint,6.77,7,Water-based Paint,6.59,2
Packaging Box,Recycled Paper Straws,0.74,8, Compostable Paper Straws,0.75,3
Automotive Component,Lindane,6.19,10,Natural Insecticides,6.19,2
General Appliance Part,Rosewood,1.74,9,Sustainable Plantation Wood,1.72,3
Electronic Housing,Grape Seed Oil,8.97,8,Plant-based Oil,8.73,3
Electronic Housing,Acrylic Glass (Plexiglass),4.18,8,Polycarbonate or Glass,4.25,4
Automotive Component,Epoxidized Soybean Oil (ESBO),2.96,8, Bio-based Epoxidized Soybean Oil,2.9,3
Packaging Box,Plant-based Paint,5.68,7,Water-based Paint,5.64,2
Clothing Apparel,Ramie Fiber,8.45,6,Nettle Plant Fiber,8.24,2
Packaging Box,Soybean Oil,6.96,8,Bio-based Oil,7.05,3
General Appliance Part,Mercury Thermometers,9.07,10,Digital or Gallium-based,9.08,2
Electronic Housing,Natural Stone,7.75,7, Recycled Stone,7.72,3
Tote Bag,Conventional Cotton,6.45,7,Organic Cotton or Hemp,6.52,3
Food Container,PET Bottles,1.55,9,Biodegradable Water Bottles,1.57,3
Electronic Housing,Polymethyl Methacrylate (PMMA),8.13,9, Recycled PMMA,8.21,3
General Appliance Part,Propylene Oxide,5.36,9,Enzymatic Processes,5.28,3
Storage Container,Thermoplastic Polyolefin (TPO),5.77,8, Biodegradable TPO,5.66,3
Electronic Housing,Disposable Plates,7.39,9,Palm Leaf or Areca Leaf Plates,7.37,2
T-Shirt,Cotton,0.48,7,Organic Cotton,0.48,2
General Appliance Part,Methyl Isocyanate,1.4,10,Non-isocyanate Chemistry,1.38,4
Automotive Component,Sunflower Oil,6.91,8, Plant-based Oil,6.73,3
Automotive Component,Banana Leaf,3.38,8,Compostable Leaf,3.42,3
Shoe Sole,Natural Rubber,5.46,8,Plant-based Rubber,5.5,3
General Appliance Part,Natural Stone,4.53,7, Recycled Stone,4.49,3
Automotive Component,Polyimide,4.71,8,Biodegradable Polyimide,4.6,3
Packaging Box,Phosgene,5.08,10,Green Chemistry Routes,5.2,4
Plastic Cutlery,Recycled Polystyrene,5.44,8,Recycled Polystyrene or Bio-based Styrofoam,5.58,3
Electronic Housing,Vinyl Chloride Monomer,4.74,9,Bio-based Monomers,4.66,3
General Appliance Part,Asbestos Cement,4.44,10,Fiber-reinforced Cement,4.52,3
General Appliance Part,Silicone,5.97,9,Plant-based Silicone,6.02,4
Shoes,Leather,2.42,9,Plant-based Leather,2.37,3
General Appliance Part,Dichloromethane,6.71,10,Water-based Solvents,6.59,3
Bag,Fiberglass,0.29,9,Bamboo or Hemp Composites,0.29,3
Packaging Box,Linseed Oil,5.58,7,Water-based Linseed Oil,5.63,3
Sportswear,Recycled Polyester,6.89,8,Recycled Polyester or Organic Cotton,7.04,3
Electronic Housing,Antimony Compounds,9.47,9,Natural Flame Retardants,9.53,3
Automotive Component,Styrene Acrylonitrile,0.5,8,Natural Copolymers,0.49,3
Packaging Box,Mineral Wool,1.01,8,Recycled Cotton Insulation,1.03,3
General Appliance Part,Laminated Wood,9.26,8,Recycled Wood,9.19,3
Automotive Component,Bisphenol A,8.33,9,Tritan Plastic,8.32,4
General Appliance Part,Olive Pit Composites,6.26,6,Fruit Waste Composites,6.37,2
Industrial Coating,Chromic Acid,6.19,9,Citric Acid,6.37,2
Phone Case,Fish Scale Plastics,0.72,8,Algae-based Plastics,0.73,3
Mattress,Polyurethane Foam,3.85,8,Recycled Denim or Sheeps Wool,3.86,3
Plastic Cutlery,Polystyrene (Plastic),7.44,9,Bamboo or Compostable PLA,7.64,3
Molded Part,Formaldehyde Resins,8.44,8,Natural Adhesives,8.38,2
Blanket,Polyester Fiberfill,1.71,8,Kapok or Wool,1.7,2
Packaging Box,Soybean Oil,3.57,8, Bio-based Oil,3.55,3
Packaging Box,Polypropylene,9.81,8,Glass,9.65,3
Belt,Leather,7.3,9,Plant-based Leather,7.1,3
Automotive Component,Lindane,7.86,10,Natural Insecticides,8.02,2
General Appliance Part,PCB Transformers,7.5,10,Dry-type Transformers,7.3,4
Automotive Component,Acetal,2.67,8,Recycled Acetal,2.6,3
Clothing Apparel,Coconut Fiber,4.7,8,Bamboo Fiber,4.57,3
Electronic Housing,PLA,8.45,5,Biodegradable Paper,8.36,2
Automotive Component,Polysulfone,7.65,8,Bio-based PSU or Recycled Polysulfone,7.54,3
Packaging Box,Sisal,6.48,8,Hemp or Bamboo Fiber,6.48,3
General Appliance Part,Soy-based Ink,3.84,7,Water-based Ink,3.77,2
Handbag,Cork Leather,4.16,7,Tree Bark Leather,4.12,3
Automotive Component,Acrylic Glass (Plexiglass),6.91,8,Polycarbonate or Glass,6.8,4
Electronic Housing,PCB Transformers,1.07,10,Dry-type Transformers,1.05,4
Pen,Casein Plastics,9.43,7,Plant Protein Plastics,9.4,2
Stockings,Nylon,6.57,7,Organic Cotton or Recycled Nylon,6.6,3
Automotive Component,Recycled Paper,8.23,7,Recycled Paper or Plant-based Paper,8.16,2
Packaging Box,Lead Solder,3.44,9,Lead-free Solder,3.35,3
Candle,Synthetic Wax,4.22,8,Beeswax or Soy Wax,4.32,3
Blister Packaging,Polyester Carpet,6.03,8,Wool or Sisal Carpet,6.1,3
Water Bottle,Corn Plastic,4.74,7, Compostable Corn Plastic,4.87,2
Vinyl Record,PVC,6.35,8,Recycled Wood or Bamboo,6.53,3
General Appliance Part,Beryllium,5.15,10,Aluminum Alloys,5.09,4
Automotive Component,Cork,5.06,8,Recycled Cork,5.09,3
Clothing Apparel,Fiberglass,1.06,9,Bamboo or Hemp Composites,1.04,3
Food Container,PETG Bottles,4.84,8,PLA or Glass Bottles,4.75,3
Electronic Housing,Synthetic Rugs,2.12,8,Jute or Wool Rugs,2.1,3
Packaging Box,Bisphenol A,1.41,9,Tritan Plastic,1.38,4
Water Bottle,Plastic Cutlery,4.27,9,Bamboo Cutlery,4.27,2
Packaging Box,Aluminum Foil,9.63,8,Reusable Beeswax Wrap,9.7,2
Crayon,Beeswax Wrap,1.83,8,Reusable Beeswax Wrap,1.84,3
Packaging Box,Asbestos (Historical),2.5,10,Cellulose Fiber,2.57,2
Packaging Box,Lead Paint,3.34,10,Natural Mineral Paint,3.38,2
Storage Container,Soy Protein Plastics,1.22,8,Plant-based Plastics,1.25,3
Packaging Box,Benzene,4.79,10,Natural Solvents,4.75,3
Storage Container,Thermoplastic Polyurethane,3.51,8,Biodegradable TPU,3.57,3
Phone Case,Recycled Plastic,7.15,9,Plant-based Plastic,7.09,3
Automotive Component,Sunflower Oil,1.13,8,Plant-based Oil,1.15,3
General Appliance Part,Mercury Thermometers,7.04,10,Digital or Gallium-based,7.1,2
Eyeglass Frame,Cellulose,4.19,8,Recycled Cellulose,4.18,3
General Appliance Part,Acetal,5.7,8,Recycled Acetal,5.7,3
Packaging Box,Conventional Fertilizers,9.26,9,Organic Fertilizers,9.2,3
Packaging Box,Polybutylene Terephthalate,5.78,8,Biodegradable PBT,5.83,3
Electronic Housing,Recycled Steel,5.42,8, Recycled Steel or Aluminum,5.31,3
Electronic Housing,Methyl Isocyanate,9.56,10,Non-isocyanate Chemistry,9.46,4
Stockings,Nylon Rope,2.11,7,Jute or Hemp Rope,2.15,2
Packaging Box,Creosote,2.22,9,Natural Wood Preservatives,2.19,3
General Appliance Part,Polyoxymethylene,1.18,8,Natural Acetals,1.17,3
Automotive Component,Shellac,1.25,7,Plant-based Resin,1.22,2
Automotive Component,Hemp Paper,8.28,8, Recycled Paper,8.12,3
Electronic Housing,Coal Tar,9.48,9,Bio-based Tar,9.58,3
Packaging Box,Soybean Oil,0.39,8,Bio-based Oil,0.4,3
General Appliance Part,Lindane,1.27,10,Natural Insecticides,1.29,2
Electronic Housing,Toluene,2.03,9,Water-based or Low-VOC Solvents,2.06,3
Automotive Component,Mercury Compounds,7.15,10,Electronic Sensors,7.23,3
Clothing Apparel,Hemp Fiber,8.46,8,Jute Fiber,8.25,3
Water Pipe,Polyvinyl Chloride (PVC),9.78,8, Recycled PVC,10.0,3
General Appliance Part,Mercury Compounds,2.87,10,Electronic Sensors,2.84,3
Electronic Housing,Soy-based Ink,2.51,7,Water-based Ink,2.56,2
General Appliance Part,Acrylonitrile Butadiene Styrene,2.82,8,Natural Fiber Composites,2.85,3
Tool Handle,Cellulose,2.8,8,Recycled Cellulose,2.78,3
Storage Container,Phthalate Plasticizers,5.98,9,Citrate-based Plasticizers,5.99,3
Packaging Box,Lindane,3.33,10,Natural Insecticides,3.4,2
Electronic Housing,Foam Packing Peanuts,3.17,9,Cornstarch Packing Peanuts,3.1,2
Tool Handle,Nitrocellulose,8.11,8,Natural Film Formers,8.14,3
Automotive Component,Coal Tar,0.1,9,Bio-based Tar,0.1,3
General Appliance Part,Cedar,7.92,8,Reclaimed Wood,8.03,3
Packaging Box,Recycled Paper Bags,7.8,7,Compostable Paper Bags,7.96,3
Electronic Housing,Acrylic Yarn,7.64,8,Bamboo Yarn or Organic Cotton Yarn,7.53,2
Automotive Component,Polyvinyl Alcohol (PVA),6.87,8, Biodegradable PVA,6.83,3
General Appliance Part,Polysulfone,1.0,8,Bio-based PSU or Recycled Polysulfone,0.98,3
Automotive Component,Polysulfone,0.21,8,Bio-based PSU or Recycled Polysulfone,0.21,3
Water Bottle,Casein Plastics,8.76,7,Plant Protein Plastics,8.81,2
Shoes,Cactus Leather,6.03,7,Desert Plant Leather,6.18,2
Water Bottle,Coconut Oil-based Bioplastic,7.17,8,Compostable Plastic,6.99,3
Molded Part,Polylactic Acid Film,4.87,8,Biodegradable Film,4.85,3
Packaging Box,Cling Film,8.36,9,Biodegradable Cling Wrap,8.25,2
Automotive Component,Recycled Paper Bags,0.89,7, Compostable Paper Bags,0.91,3
Packaging Box,Polyolefin Elastomer (POE),8.2,8, Biodegradable POE,8.33,3
Packaging Box,Acrylamide,0.61,9,Natural Polymers,0.62,3
General Appliance Part,Polyisoprene,4.09,8, Natural Rubber,4.19,3
General Appliance Part,Asphalt Shingles,9.06,8,Recycled Metal Shingles,9.11,3
Automotive Component,Polyvinyl Acetate Emulsion,0.97,8,Starch-based Adhesive,0.99,3
Grocery Bag,Recycled Polyethylene,0.4,8,Recycled Polyethylene or Biodegradable Polyethylene,0.41,3
Credit Card,PVC,5.54,8,Recycled Wood or Bamboo,5.48,3
General Appliance Part,Teak Wood,2.75,9,Bamboo Composites,2.72,3
Bag,Natural Fiber,1.05,7, Biodegradable Fiber,1.08,2
Packaging Box,Polyhydroxybutyrate (PHB),5.7,8, Biodegradable PHB,5.8,3
Automotive Component,Radioactive Materials,7.48,10,Non-radioactive Alternatives,7.47,4
Upholstery,Nettle Fiber,3.4,5,Wild Plant Fiber,3.33,2
General Appliance Part,Polyhydroxyalkanoates,1.69,8,Biodegradable Polyhydroxyalkanoates,1.67,3
Water Bottle,Recycled Plastic,5.14,9,Plant-based Plastic,5.08,3
Packaging Box,Bamboo Pulp,6.43,8, Recycled Pulp,6.26,3
Electronic Housing,FSC-Certified Wood,1.94,8, Sustainable Wood,1.94,3
Electronic Housing,Tencel,9.82,8,Hemp or Organic Cotton,9.67,3
Film,Cellulose Acetate Butyrate,7.27,7,Modified Natural Cellulose,7.25,2
General Appliance Part,Vinyl Upholstery,5.77,9,Cork Leather or Fabric,5.87,3
Toy,Corn Plastic,1.1,7,Compostable Corn Plastic,1.08,2
Packaging Box,Polyvinyl Alcohol,8.59,8,Biodegradable PVA,8.74,3
Electronic Housing,Acrylamide,3.06,9,Natural Polymers,3.02,3
Automotive Component,Chromated Copper Arsenate,1.93,10,Heat-treated Wood,1.92,3
Packaging Box,Phenol,2.48,9,Natural Phenolics,2.44,3
Electronic Housing,Vinyl,7.49,8,Recycled Wood or Bamboo,7.53,3
General Appliance Part,Corn Starch,0.06,8,Biodegradable Cornstarch,0.06,3
General Appliance Part,Recycled Cardboard,9.34,7, Recycled Paperboard,9.31,3
Molded Part,Polylactic Acid (PLA),2.85,6,Compostable PLA,2.81,2
Automotive Component,Paper Packaging,4.37,8,Biodegradable Paper Packaging,4.32,3
Electronic Housing,Vinyl Acetate,8.79,8,Natural Acetylation,8.97,3
Tire,Natural Rubber,5.89,8,Plant-based Rubber,6.0,3
Automotive Component,Kevlar,3.39,9,High-strength Natural Fibers,3.33,4
Packing Peanuts,Polystyrene (Styrofoam),0.61,9,Mushroom Packaging (Mycelium),0.61,1
Curtains,Polyester Carpet,1.31,8,Wool or Sisal Carpet,1.27,3
General Appliance Part,Acrylamide,5.37,9,Natural Polymers,5.47,3
Packaging Box,Methyl Chloroform,9.24,9,Citrus-based Solvents,9.35,2
Electronic Housing,Butadiene,8.92,8,Bio-based Dienes,9.18,3
Packaging Box,Methylene Chloride Paint Strippers,5.2,9,Soy-based Strippers,5.12,3
Bag,Fiberglass Mat,6.15,8,Natural Fiber Mat,6.0,3
Pen,Fish Scale Plastics,5.61,8,Algae-based Plastics,5.6,3
Blanket,Polyester Film,7.79,7,Cornstarch-based Film,7.68,2
Automotive Component,Recycled Paper,9.99,7,Recycled Paper or Plant-based Paper,9.95,2
Electronic Housing,Flax,8.52,7,Organic Cotton,8.62,3
Automotive Component,Bamboo Paper,4.22,8, Recycled Paper,4.23,3
Electronic Housing,Mercury Compounds,2.6,10,Electronic Sensors,2.54,3
Automotive Component,Seaweed,8.87,8,Bio-based Seaweed Packaging,8.87,3
Electronic Housing,Hemp Paper,4.41,8, Recycled Paper,4.3,3
Disposable Cutlery,Plastic Cutlery,3.87,9,Bamboo Cutlery,3.83,2
Automotive Component,Toluene,0.13,9,Water-based or Low-VOC Solvents,0.13,3
Clothing Apparel,Bamboo Fabric,7.4,8,Organic Cotton,7.41,3
Automotive Component,Creosote,2.48,9,Natural Wood Preservatives,2.44,3
Retro Radio Casing,Bakelite,8.08,9,Wood-based Composites,8.16,4
Handbag,Mushroom Leather,4.59,8,Mycelium Leather,4.71,3
Grocery Bag,Polyethylene Glycol,1.64,8,Bio-based PEG,1.61,3
Automotive Component,Methyl Chloroform,3.1,9,Citrus-based Solvents,3.14,2
Jacket,Polyester Resin,1.85,8, Bio-based Resin,1.81,3
Automotive Component,FSC-Certified Wood,8.3,8, Sustainable Wood,8.28,3
Packaging Box,Polyetheretherketone,4.48,9,High-performance Natural Fibers,4.57,4
Electronic Housing,Beryllium,4.43,10,Aluminum Alloys,4.31,4
Packaging Box,Spider Silk Protein,7.03,8,Recombinant Protein Fibers,7.23,3
Bag,Flax Fiber,8.47,7,Bamboo Fiber,8.37,2
General Appliance Part,Recycled Paper Bags,4.49,7, Compostable Paper Bags,4.37,3
Packaging Box,Synthetic Adhesive,2.91,9,Starch-based or Resin Glue,2.99,3
Water Bottle,PET Bottles,1.99,9,Biodegradable Water Bottles,2.02,3
Electronic Housing,Ozone-depleting Substances,6.97,10,Natural Refrigerants,6.86,3
Electronic Housing,Polybutene,3.52,8, Bio-based Polybutene,3.55,3
Industrial Coating,Polylactic Acid,3.75,5,Biodegradable Paper,3.77,2
Automotive Component,PCB Capacitors,9.06,10,Bio-based Capacitors,9.01,4
Packaging Box,Acrylamide,9.73,9,Natural Polymers,9.52,3
General Appliance Part,DDT (Historical),4.16,10,Natural Pesticides,4.23,2
Packaging Box,Linseed Oil,8.82,7, Water-based Linseed Oil,8.87,3
Storage Container,Phthalate Plasticizers,0.23,9,Citrate-based Plasticizers,0.23,3
General Appliance Part,Hemp Paper,7.47,8, Recycled Paper,7.3,3
Water Bottle,Milk Protein Plastics,2.94,8,Plant-based Plastics,2.87,3
General Appliance Part,Hydrochlorofluorocarbons,2.32,9,CO2 Refrigeration,2.34,3
Automotive Component,Vinyl Chloride Monomer,8.19,9,Bio-based Monomers,8.21,3
General Appliance Part,Natural Stone,4.12,7,Recycled Stone,4.02,3
Packaging Box,Toluene,7.65,9,Water-based or Low-VOC Solvents,7.5,3
Automotive Component,PCB Transformers,1.66,10,Dry-type Transformers,1.7,4
Electronic Housing,Polyetheretherketone,8.99,9,High-performance Natural Fibers,9.08,4
Packaging Box,Cling Film,1.73,9,Biodegradable Cling Wrap,1.68,2
Grocery Bag,High-Density Polyethylene,0.78,8,Biodegradable HDPE,0.8,3
General Appliance Part,Natural Stone,5.67,7, Recycled Stone,5.57,3
Electronic Housing,Bamboo Pulp,1.5,8, Recycled Pulp,1.51,3
Automotive Component,Bamboo Pulp,1.16,8, Recycled Pulp,1.14,3
Automotive Component,Foam Packing Peanuts,2.22,9,Cornstarch Packing Peanuts,2.18,2
Disposable Cutlery,Plastic,5.66,10,Paper or Metal,5.77,2
Electronic Housing,DDT (Historical),0.52,10,Natural Pesticides,0.53,2
Packaging Box,Glass Containers,3.88,8, Recycled Glass,3.97,3
Automotive Component,Polybutylene Terephthalate,7.12,8,Biodegradable PBT,7.26,3
General Appliance Part,Polyamide 12,2.23,8, Biodegradable Polyamide 12,2.27,3
Toy,Thermoplastic Polyolefin (TPO),7.85,8, Biodegradable TPO,7.75,3
Electronic Housing,Tritan,3.27,9,Plant-based Tritan,3.23,3
General Appliance Part,Eggshell Composites,5.88,6,Calcium Carbonate Composites,6.01,2
Belt,Leather,4.15,9,Plant-based Leather,4.09,3
General Appliance Part,Phenol,2.1,9,Natural Phenolics,2.11,3
Industrial Coating,Plant-based Resin,0.6,8, Bio-based Resin,0.6,3
Automotive Component,Rapeseed Oil,2.54,8,Vegetable-based Oil,2.56,3
Bag,Water Hyacinth Fiber,1.51,6,Invasive Plant Fiber,1.48,2
Automotive Component,Polyamide 11,2.09,8,Biodegradable Polyamide,2.13,3
Shoes,Grape Leather,1.84,6,Wine Industry Byproduct Leather,1.83,2
Electronic Housing,Polymethyl Methacrylate (PMMA),4.56,9,Recycled PMMA,4.45,3
Automotive Component,Tritan,7.75,9,Plant-based Tritan,7.76,3
Phone Case,Plastic Cutlery,3.81,9,Bamboo Cutlery,3.85,2
Automotive Component,Eucalyptus,3.37,8,Recycled Eucalyptus,3.41,3
Electronic Housing,Acrylic Paint,3.92,7,Natural Pigments or Water-based Paints,3.9,2
Packing Peanuts,Recycled Polystyrene,7.88,8, Recycled Polystyrene or Bio-based Styrofoam,7.99,3
Packaging Box,Pentachlorophenol,1.5,10,Organic Wood Treatment,1.48,3
General Appliance Part,Halon Fire Suppressants,3.26,9,Water Mist Systems,3.24,3
Electronic Housing,Banana Leaf,5.89,8,Compostable Leaf,6.01,3
Water Bottle,PETG,1.03,7,PLA-based materials,1.04,3
Electronic Housing,Lead Pipes,5.08,10,PEX or Copper Pipes,5.14,3
Electronic Housing,Polyamide 11,9.96,8,Biodegradable Polyamide,9.78,3
Electronic Housing,Polybutylene Terephthalate,6.12,8,Bio-based Polyesters,6.03,3
Sponge,Cellulose Acetate Butyrate,7.16,7,Modified Natural Cellulose,7.3,2
Jeans,Recycled Cotton,3.67,7,Biodegradable Cotton,3.63,2
Wallet,Cactus Leather,8.8,7,Desert Plant Leather,8.59,2
Toy,Plastic Bags,2.24,9,Reusable Cloth Bags,2.31,2
Clothing Apparel,Recycled Carbon Fiber,3.38,8, Recycled Carbon Fiber Composites,3.31,3
Tool Handle,Methyl Cellulose,7.29,7,Natural Thickeners,7.48,2
General Appliance Part,Creosote-treated Wood,1.17,9,Heat-treated Wood,1.15,3
Packaging Film,Chlorosulfonated Polyethylene,8.44,9,Bio-based Elastomers,8.5,3
Water Bottle,Corn Plastic,3.21,7,Compostable Corn Plastic,3.12,2
Water Bottle,PETG,8.78,7,PLA-based materials,8.76,3
Pen,Thermoplastic Vulcanizates,7.08,8, Biodegradable Thermoplastic,6.92,3
Pen,Recycled Plastic,2.78,9,Plant-based Plastic,2.76,3
Polishing Wax,Traditional Candle Wax,4.47,8,Soy Wax or Beeswax,4.55,2
Eraser,Recycled Rubber,8.77,9, Recycled Rubber,8.91,3
Electronic Housing,Recycled Textiles,5.19,8,Organic Textiles,5.24,3
Sportswear,Polyester Thread,7.42,8,Organic Cotton or Hemp Thread,7.43,2
Electronic Housing,Perchloroethylene,2.07,9,CO2 Cleaning,2.13,3
Sponge,Ethyl Cellulose,4.07,7,Plant-based Cellulose,4.16,2
Packaging Box,Hempcrete,3.29,7,Bamboo-based Insulation,3.29,3
Automotive Component,Polyoxymethylene,7.11,8,Natural Acetals,6.94,3
